,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Eastern_Euro,0.02398634977696819,0.0025163846708414262,-0.01453554869666809,0.02762684998821975,-0.0050069962728980875,0.04050922628043584,-0.013768168050927062,0.016106618623934782,-0.027155907697924097,-0.02621110438930323,-0.09556333577928057,0.004789671345774507,-0.013017028077119856,0.03097241993164862,0.049494216087497545,0.002791593600686952,-0.04844692124978326,-0.025586541915534822,-0.012137203687408758,0.0241212846507948,-0.15937761997707797,0.05707533809409018,-0.04730697816857266,-0.02739701075494355,0.04241870781783637
Fennoscandian,0.023976854199634474,0.0025359678241312113,-0.014540354484355164,0.027488535185980715,-0.004862009512719671,0.040487557135888495,-0.01375846964972683,0.016135279908496655,-0.026980133110754638,-0.02583661890733134,-0.09571767635559855,0.00475534814205411,-0.013320551645560194,0.0310932688158073,0.050004596397805225,0.0028986122494954886,-0.04856076164376145,-0.025552924869444528,-0.012143032722779754,0.0243642876897795,-0.1592125590758364,0.05703798196486117,-0.04762009713714979,-0.027257546620451115,0.04253081160800042
French,0.023894827486522992,0.0031161291626383473,-0.015085578695486539,0.02678429038208038,-0.004905782726485903,0.04025216135949701,-0.013906829857763382,0.0158907685112355,-0.026942967007830693,-0.025201751318650087,-0.09609694141451815,0.005090675569519342,-0.01398438489394734,0.031070227885057745,0.05032820995643239,0.003353291649121244,-0.048353143154645006,-0.025506928208379027,-0.01209450247866598,0.024407181898012793,-0.1588542554181154,0.05687330072635076,-0.04800172003587711,-0.027257780449220708,0.042348407364700934
Iberian,0.02375935356576659,0.003398092310526176,-0.014977775413706816,0.026278480320675777,-0.0044467057399234615,0.04003286400870135,-0.014109242157545332,0.016011047387839705,-0.02644174691042735,-0.024646323195802598,-0.0956799261737047,0.005070400904418012,-0.013745501408274467,0.030747193027839178,0.05010211236651719,0.002667642023030843,-0.04865244073498104,-0.02570282150275707,-0.012645265725741537,0.02406564419725621,-0.15943648777275707,0.056499172247382254,-0.04729935951427889,-0.027477625358123307,0.04255924317983941
Indo-Chinese,0.02274839931611799,-0.0029242356744051115,-0.015944512208319703,0.02586846643683622,-0.0040207681840611015,0.040761570231987676,-0.013844369308828658,0.015863342566645323,-0.027211177514478133,-0.025631600887273724,-0.09586914418769021,0.004878015366011206,-0.013479220269063587,0.031012276820386146,0.04994582263017525,0.002861637657979001,-0.048493572975505904,-0.025587819050445725,-0.012138640033161776,0.024178736285026835,-0.15917422188470798,0.05713131594683124,-0.04745640084643891,-0.0272459178126119,0.04260005520637247
Italian,0.023949123201784307,0.0031565489632955426,-0.015385455833377873,0.026154639308254145,-0.004795570495593332,0.03998758224802451,-0.013788655592824014,0.015891921782243443,-0.026922162046528815,-0.025017707115746742,-0.09580393503920795,0.005069329914050426,-0.013777377564976477,0.03108722764617076,0.04947137255152143,0.0026982980700431944,-0.048381505987923616,-0.025524523524607805,-0.011774882519739323,0.02401422169634929,-0.15934196341392495,0.05716379719856001,-0.04764565306368001,-0.027259403428653097,0.042356207773957814
Malayan,0.022745670375816266,-0.002615598233924531,-0.016369009669182328,0.026027412521641292,-0.003554406751372481,0.04091466910399454,-0.013974243241290287,0.015725005457927935,-0.027236346419073656,-0.025832027670205444,-0.09445376579223613,0.005111270040974378,-0.013682222010958136,0.031193532364290094,0.05020512460695737,0.0029397897938173365,-0.04860224228711831,-0.025457283559209672,-0.011936620446189277,0.024160878711594277,-0.15947479618065918,0.05632527602921036,-0.04797386400405875,-0.02741667823646956,0.041451181732809955
Near_Eastern,0.02312845618741163,0.0030522203287339507,-0.016147438628413228,0.025702212892698632,-0.0054010997450724095,0.039869704867947435,-0.01395447948997393,0.015863861219081732,-0.026855763338443008,-0.02554620181765052,-0.09569148846145983,0.004808467120321913,-0.013220503976242947,0.031057994312788516,0.04989444577687697,0.003055874877383112,-0.048523973916113926,-0.02553764369787828,-0.012109374701776024,0.024261019465925474,-0.15926333412794044,0.05703529075294409,-0.04764330762871046,-0.027243203501151874,0.042454203397646856
North_African,0.02195691783151523,0.0030312592049084636,-0.015640406162724715,0.02577239302603797,-0.004940562571481038,0.03985217386282179,-0.014176287761440365,0.01601850634409974,-0.026356402694291566,-0.025207472840945565,-0.09571359840262655,0.004857273316497547,-0.013242504073985112,0.0308741806343005,0.05011288743203223,0.002686969427953329,-0.04853764111430386,-0.025801448618218537,-0.01264398475932009,0.024319271959758054,-0.15948245366278033,0.05654666490455518,-0.047328922775079475,-0.027341801396528167,0.04254436720062804
North_Atlantic,0.02406318343504229,0.003196609281264045,-0.014905298628566257,0.02731544223501185,-0.004813129563106696,0.0406431657151696,-0.01389215494325277,0.015884391597236605,-0.02711062722829852,-0.025603070533294456,-0.09579493721574134,0.00512998216943314,-0.013807136325981578,0.030738847763775657,0.05052402883254418,0.0029882436252460253,-0.04878667389619524,-0.025436278939992275,-0.0119764659121179,0.0242359796655904,-0.15915315511822745,0.05714669869114918,-0.0476564537504526,-0.02684164756143017,0.04244354845837269
